orderId;orderItemId;syncId;productId;quantity;unitOfMeasureId;netPrice;netAmount
882;10;1757;S200101;1.500.000;HUR;700.000;105.000.000
918;30;1757;P100403;30.000;EA;14.110.500;42.331.500
918;20;1757;P100403;20.000;EA;12.270.000;24.540.000
918;10;1757;P100403;10.000;EA;17.250.000;17.250.000
967;10;1757;S200102;2.500.000;HUR;1.000.000;250.000.000
975;10;1757;P100902;130.000;MTR;1.330.000;17.290.000
1008;10;1757;GAT102_ROL;150.000;EA;300.000;4.500.000
1127;10;1757;GAT102_ROL;150.000;EA;30.000;450.000
1140;10;1757;GAT102_ROL;10.000;EA;30.000;30.000
1228;10;1757;;20.000;EA;300.000;600.000
1229;10;1757;P100401;20.000;EA;3.460.000;6.920.000
1235;10;1757;GAT102_ROL;500.000;EA;30.000;1.500.000
1236;10;1757;GAT102_ROL;50.000;EA;30.000;150.000
1237;10;1757;GAT102_ROL;10.000;EA;30.000;30.000
1239;10;1757;GAT102_ROL;150.000;EA;30.000;450.000
1240;10;1757;GAT102_ROL;450.000;EA;30.000;1.350.000
1274;10;1757;INSTALL_PAN;30.000;HUR;1.300.000;3.900.000
1274;20;1757;PANASONIC_123;10.000;EA;8.000.000;8.000.000
1283;20;1757;PANASONIC_123;20.000;EA;8.000.000;16.000.000
1283;10;1757;INSTALL_PAN;10.000;HUR;1.300.000;1.300.000
1286;10;1757;PANASONIC_123;10.000;EA;8.000.000;8.000.000
1420;10;1757;S200101;800.000;HUR;1.500.000;120.000.000
1428;10;1757;20000010;780.000;HUR;1.200.000;93.600.000
1428;20;1757;20000012;320.000;HUR;1.300.000;41.600.000
1428;30;1757;20000010;300.000;HUR;1.200.000;36.000.000
1430;20;1757;20000010;780.000;HUR;1.200.000;93.600.000
1430;10;1757;20000012;320.000;HUR;1.300.000;41.600.000
1430;30;1757;20000010;300.000;HUR;1.200.000;36.000.000
1435;10;1757;GAT102_ROL;10.000;EA;1.150.000;1.150.000
1435;20;1757;GAT102_ROL;10.000;EA;1.150.000;1.150.000
1435;30;1757;GAT102_ROL;10.000;EA;1.150.000;1.150.000
1435;40;1757;GAT102_ROL;10.000;EA;1.150.000;1.150.000
1435;50;1757;GAT102_ROL;10.000;EA;1.000.000;1.000.000
1562;30;1757;20000010;740.000;HUR;1.200.000;88.800.000
1562;10;1757;20000010;160.000;HUR;1.200.000;19.200.000
1562;40;1757;20000010;160.000;HUR;1.200.000;19.200.000
1562;20;1757;20000010;10.000;HUR;1.200.000;1.200.000
1592;10;1757;GAT102_ROL;3.800.000;EA;30.100;11.422.500
1661;10;1757;P100403;110.000;EA;12.270.000;134.970.000
1666;30;1757;P100403;300.000;EA;12.270.000;368.100.000
1666;20;1757;P100403;200.000;EA;12.270.000;245.400.000
1666;10;1757;P100403;100.000;EA;14.110.500;141.105.000
1682;10;1757;PANASONIC_123;10.000;EA;8.000.000;8.000.000
1723;10;1757;P100402;10.000;EA;194.000;194.000
1755;10;1757;CROISSANT;250.000;EA;15.000;375.000
1783;10;1757;MTB1;20.000;EA;53.091.000;106.182.000
1792;10;1757;FISHBOARD63;300.000;EA;1.000.000;30.000.000
1796;10;1757;FISHBOARD63;1.000.000;EA;1.000.000;100.000.000
1824;10;1757;LOLA_50_RED;10.000;EA;12.000.000;12.000.000
1868;10;1757;P100402;10.000;EA;475.000;475.000
1869;10;1757;P100402;10.000;EA;475.000;475.000
1889;10;1757;S200108;20.000;HUR;1.300.000;2.600.000
1984;10;1757;GAT102_ROL;10.000;EA;1.710.000;1.710.000
1984;20;1757;GAT102_ROL;10.000;EA;1.980.000;1.980.000
1999;20;1757;GAT102_ROL;250.000;EA;1.710.000;42.750.000
1999;10;1757;GAT102_ROL;50.000;XBX;1.620.000;97.200.000
2005;10;1757;MTB1;10.000;EA;58.000.000;58.000.000
2086;10;1757;P100901;90.000;MTR;10.000;90.000
2097;10;1757;GAT102_ROL;200.000;EA;1.710.000;34.200.000
2098;10;1757;GAT102_ROL;2.000.000;EA;1.710.000;342.000.000
2101;10;1757;GAT102_ROL;530.000;EA;18.000.000;954.000.000
2101;30;1757;GAT102_EV;100.000;MTR;20.000;200.000
2101;20;1757;ELIO_01;20.000;XBX;20.000;40.000
2112;10;1757;GAT102_JS;60.000;EA;110.000;660.000
2113;10;1757;GAT102_EV;400.000;EA;1.225.000;49.000.000
2133;10;1757;GAT102_JS;10.000;EA;95.000;95.000
2155;10;1757;CATH_001;200.000;XBX;15.000;3.000.000
2165;20;1757;P110401;20.000;;;
2165;30;1757;P110220;20.000;;;
2165;10;1757;P110401K;10.000;EA;600.000;600.000
2166;20;1757;P110401;20.000;;;
